nombre,apellido,edad,sexo,horas_estudio,nota
Ana,Rodríguez,20,M,9,100.0
Carlos,Hernández,19,F,7,90.57
Carlos,Hernández,21,M,7,76.17
Ana,Rodríguez,20,F,7,80.79
José,Gómez,22,F,8,86.1
Ana,Rodríguez,19,F,1,48.81
Carlos,Díaz,19,M,8,100.0
Carlos,Ruiz,22,M,4,73.28
Sofía,López,21,M,4,60.98
Elena,García,22,M,4,68.34
Luis,López,21,F,6,86.03
Ana,Gómez,22,M,7,85.27
Luis,López,22,M,6,75.96
Ana,Hernández,18,M,1,49.57
Pedro,Fernández,19,M,8,82.37
Carlos,García,22,M,7,77.54
Elena,Martínez,22,F,6,67.49
Sofía,Gómez,20,M,6,78.46
Elena,García,19,F,5,68.95
Elena,López,20,M,6,69.42
Elena,Hernández,19,F,9,92.69
Luis,Pérez,20,M,9,97.76
Ana,Ruiz,22,M,8,100.0
Miguel,Martínez,22,F,9,100.0
Pedro,Ruiz,18,F,8,69.73
María,García,20,F,8,89.91
Elena,Hernández,21,M,1,57.43
José,Hernández,18,F,5,59.3
Luis,López,20,M,4,68.41
Sofía,Díaz,20,M,2,50.11
María,López,18,F,8,97.2
Miguel,Díaz,22,F,3,61.23
José,Díaz,20,M,4,56.93
Miguel,Martínez,22,M,7,80.39
María,López,18,F,9,92.87
Elena,Pérez,22,F,2,51.01
José,Rodríguez,19,F,3,66.95
Miguel,Rodríguez,21,M,4,57.26
Sofía,López,20,M,1,54.02
Ana,López,21,M,7,79.58
Carlos,Ruiz,22,M,2,53.79
Ana,Martínez,20,M,5,70.58
María,López,22,M,1,45.83
Luis,Ruiz,19,F,3,57.89
Carlos,Díaz,18,M,2,63.66
Pedro,Hernández,20,M,1,52.74
Sofía,Hernández,19,M,7,79.1
Pedro,Díaz,19,F,5,82.66
José,Gómez,20,M,1,48.2
Carlos,Ruiz,22,M,6,78.86
Pedro,Ruiz,19,F,5,63.3
Pedro,Díaz,21,M,3,54.02
Miguel,Pérez,19,M,7,76.49
Ana,Fernández,22,M,9,94.69
Miguel,García,22,M,9,99.11
Carlos,Díaz,21,M,9,96.94
Carlos,López,19,F,2,64.7
María,López,22,F,3,50.9
Miguel,Martínez,20,F,7,82.92
Laura,Díaz,18,M,5,59.74
Ana,Martínez,18,M,2,44.63
Carlos,Díaz,18,M,3,68.12
María,Ruiz,19,F,6,72.29
Miguel,García,21,M,7,75.57
Ana,Ruiz,22,M,9,76.96
Miguel,Fernández,20,F,1,39.49
Pedro,Hernández,20,M,7,80.36
María,Rodríguez,19,F,8,77.14
Ana,Díaz,18,F,3,55.9
Elena,Fernández,19,F,4,74.17
José,Hernández,21,M,6,70.34
José,Gómez,21,M,7,74.45
Ana,García,22,M,4,55.01
Miguel,Martínez,22,M,8,78.87
María,Martínez,21,M,5,74.28
José,Ruiz,21,M,1,46.39
María,López,21,M,4,71.65
José,Hernández,19,F,3,74.16
Pedro,Gómez,21,M,9,79.36
Miguel,Fernández,20,F,8,91.04
Pedro,García,18,M,1,37.05
José,Hernández,21,M,6,82.31
Elena,Gómez,18,M,9,91.82
Elena,Rodríguez,19,F,7,82.22
Pedro,Díaz,18,F,4,53.73
Elena,Martínez,19,F,1,42.59
José,Fernández,20,F,2,52.72
Ana,Martínez,19,M,5,80.85
Pedro,Fernández,19,F,5,63.64
Luis,Ruiz,22,M,8,83.59
Miguel,López,21,M,6,83.55
Elena,Fernández,21,F,8,81.13
Elena,Martínez,20,F,2,61.14
Carlos,Ruiz,20,F,3,57.93
Laura,Fernández,21,F,6,78.42
Pedro,Rodríguez,22,F,3,60.94
Sofía,López,21,F,6,71.07
Elena,Fernández,22,F,6,79.12
Miguel,Ruiz,20,F,2,45.82
Luis,Hernández,18,M,7,77.98
Elena,Pérez,20,F,2,56.47
Luis,Gómez,20,F,6,78.35
José,Pérez,19,M,1,45.4
José,Pérez,19,F,3,47.93
Laura,García,19,M,2,43.93
Ana,Rodríguez,19,M,7,84.21
Sofía,Hernández,22,F,4,69.86
Carlos,Díaz,21,M,8,79.12
Laura,Fernández,18,M,6,69.28
María,Gómez,20,M,4,65.07
Carlos,López,22,M,5,70.9
Pedro,Hernández,18,F,9,81.01
Miguel,Martínez,22,M,7,83.29
María,Díaz,22,F,9,89.21
María,García,20,M,7,95.13
Laura,García,21,M,1,47.99
Ana,Hernández,19,M,8,91.37
Laura,Ruiz,21,M,4,67.58
Pedro,Pérez,20,F,3,48.29
Elena,Martínez,20,F,7,97.55
Elena,García,20,M,3,45.02
Ana,Gómez,18,M,8,94.37
Pedro,García,21,F,6,80.95
Ana,López,21,M,5,66.18
Luis,Fernández,22,M,4,69.33
Elena,García,22,M,8,85.46
María,López,22,F,8,82.6
Sofía,Hernández,20,F,1,49.76
Miguel,Hernández,21,F,9,85.95
Pedro,Díaz,20,M,5,68.21
Carlos,García,18,M,4,59.25
Ana,Gómez,22,F,6,73.31
Miguel,García,20,F,6,79.46
Carlos,Gómez,20,F,2,47.25
Miguel,Rodríguez,18,F,8,86.46
Sofía,Díaz,19,M,7,77.97
Carlos,Rodríguez,21,F,1,57.55
Laura,García,19,M,5,72.74
José,Díaz,22,F,6,77.76
Laura,Rodríguez,20,M,4,69.47
Elena,Pérez,18,F,2,47.25
José,García,18,F,4,70.87
Laura,Rodríguez,21,F,1,48.77
José,Pérez,19,F,7,69.51
José,Pérez,21,M,2,40.58
María,Hernández,20,F,2,47.42
Ana,García,21,M,9,83.43
Ana,Pérez,18,M,5,68.09
María,Hernández,18,M,2,43.89
Miguel,Rodríguez,22,M,9,93.22
Luis,López,22,F,9,100.0
Miguel,García,20,M,1,45.6
Carlos,Díaz,19,M,3,55.58
Carlos,Gómez,21,M,4,67.11
José,Gómez,20,F,7,76.43
Laura,Rodríguez,22,F,4,70.75
Laura,Ruiz,21,F,2,55.96
Ana,Ruiz,22,F,7,82.31
Pedro,Rodríguez,21,M,6,77.23
Miguel,Pérez,19,M,3,74.33
Elena,García,20,F,6,83.54
Sofía,Gómez,21,M,6,93.6
Laura,Gómez,18,M,5,74.26
Sofía,Pérez,18,M,4,52.23
José,Gómez,21,F,1,43.9
Sofía,Díaz,21,F,6,62.4
Elena,García,21,M,2,56.23
María,Fernández,18,F,3,63.96
Elena,Gómez,18,F,8,80.91
Sofía,Rodríguez,21,F,6,70.75
Elena,Díaz,22,F,3,59.19
Luis,Gómez,22,F,7,72.42
José,Díaz,19,M,4,53.81
Miguel,Hernández,20,F,9,100.0
María,Fernández,22,M,5,70.92
Laura,Martínez,18,M,3,53.54
Carlos,Rodríguez,22,F,2,38.46
Miguel,Rodríguez,19,M,2,58.82
Carlos,García,19,M,3,52.52
José,Díaz,20,M,2,66.89
María,Pérez,22,F,4,70.87
Ana,Rodríguez,18,F,2,45.53
Laura,Díaz,18,M,9,88.28
Luis,Díaz,21,F,2,65.77
Ana,López,18,F,9,93.33
José,López,20,F,6,71.89
Miguel,Martínez,20,F,1,46.22
Luis,Hernández,18,M,4,59.86
Elena,Martínez,18,M,1,47.93
Sofía,Gómez,21,F,6,75.39
Luis,Pérez,18,F,4,71.0
José,Gómez,21,M,3,54.89
Pedro,Ruiz,21,M,3,50.92
Sofía,Gómez,18,F,9,91.21
Carlos,García,19,M,6,73.16
Laura,Gómez,19,F,9,93.38
Carlos,Martínez,21,F,5,75.08
Luis,Rodríguez,18,M,2,56.64
Carlos,Rodríguez,19,M,8,97.6
José,López,18,F,5,63.51
Elena,Pérez,18,F,2,55.11
Miguel,Pérez,18,M,4,69.82
Laura,García,22,F,9,88.61
Carlos,Martínez,18,M,4,62.34
Carlos,López,22,F,4,50.0
Luis,Ruiz,21,M,2,59.25
Miguel,Pérez,19,M,6,74.28
Ana,Rodríguez,19,M,2,58.45
Carlos,Gómez,19,F,7,83.65
José,Gómez,19,F,3,56.52
Pedro,López,19,M,3,45.26
Laura,Martínez,19,F,5,58.68
Carlos,Martínez,19,M,3,37.25
José,Hernández,21,M,2,47.5
José,Fernández,18,F,9,100.0
Laura,Pérez,20,F,2,41.7
Ana,Martínez,22,M,2,30.95
José,Rodríguez,20,F,8,95.7
Pedro,López,20,F,9,100.0
José,Ruiz,18,M,7,84.38
José,Hernández,18,M,3,60.31
José,Díaz,18,F,9,91.52
Elena,García,19,M,3,43.65
Elena,Ruiz,21,M,5,58.39
Ana,Díaz,19,F,9,91.47
Carlos,Gómez,21,M,3,53.93
José,García,21,M,7,81.08
Miguel,Pérez,20,F,1,52.63
Carlos,Rodríguez,20,F,4,59.35
Ana,García,21,M,4,70.8
María,Fernández,21,M,7,77.4
Carlos,Díaz,19,F,8,96.31
Carlos,Pérez,19,F,1,46.69
Sofía,Fernández,20,F,5,66.51
Luis,Gómez,18,F,7,82.55
Sofía,Fernández,21,M,4,61.65
Pedro,Hernández,19,F,4,64.91
Elena,Hernández,20,F,4,70.06
Elena,López,19,M,6,75.3
Luis,Ruiz,21,F,7,79.04
Laura,Ruiz,21,M,2,43.01
Laura,Pérez,22,F,5,74.63
Ana,Gómez,18,F,4,66.79
Luis,Martínez,22,F,3,48.54
Carlos,Hernández,20,M,7,88.68
Laura,Pérez,19,M,6,66.41
José,Martínez,20,F,7,90.23
Miguel,Ruiz,21,M,5,75.5
Carlos,López,22,M,6,79.36
Pedro,Fernández,22,M,5,66.98
José,Hernández,22,M,7,86.61
José,Pérez,20,M,2,60.61
Luis,García,21,M,5,74.74
Ana,Martínez,19,F,6,70.64
Pedro,Fernández,19,F,6,78.14
Laura,Hernández,20,M,5,79.06
Luis,Ruiz,22,F,7,99.59
Laura,Gómez,18,F,8,86.36
Luis,Martínez,20,F,7,88.86
Luis,Ruiz,20,F,5,79.08
Luis,Hernández,21,M,1,39.5
Ana,Martínez,19,F,5,84.26
Luis,Fernández,20,F,2,43.48
María,Hernández,20,M,5,76.47
Miguel,Díaz,22,M,5,72.44
Laura,Pérez,22,F,2,52.44
Carlos,Fernández,18,F,5,90.37
Sofía,Martínez,21,F,4,61.59
Pedro,Gómez,18,F,1,43.46
Elena,Ruiz,22,F,3,68.65
Ana,García,19,F,1,52.09
Carlos,Ruiz,22,M,5,80.26
José,Martínez,21,F,4,64.93
María,Ruiz,22,F,7,84.54
Elena,Pérez,21,M,5,85.21
Sofía,Hernández,21,M,4,57.31
Carlos,García,21,M,2,51.18
Elena,Rodríguez,21,M,4,70.39
Carlos,Martínez,21,F,2,50.43
María,López,19,F,8,83.44
Sofía,Rodríguez,18,F,3,62.95
José,Ruiz,20,F,9,100.0
Luis,Martínez,18,F,4,62.87
Laura,Díaz,21,F,6,74.65
José,López,19,M,5,64.82
Luis,García,22,F,1,43.63
Ana,Gómez,19,M,9,100.0
Miguel,Díaz,21,M,1,46.65
Pedro,Rodríguez,19,F,8,81.56
Pedro,Hernández,19,M,9,96.1
Laura,Pérez,21,F,9,100.0
Sofía,Gómez,19,M,1,41.5
María,Díaz,20,F,2,41.37
Sofía,Hernández,20,M,1,63.53
María,Hernández,19,F,2,40.97
Sofía,Martínez,22,F,8,85.13
Miguel,Díaz,21,F,5,71.86
Ana,García,20,F,7,79.82
Ana,Ruiz,22,F,2,51.4
Luis,López,19,M,8,92.61
Elena,López,22,M,6,56.87
Ana,Rodríguez,18,M,8,77.86
Ana,Rodríguez,20,F,1,46.35
José,López,19,M,1,42.77
José,García,21,F,7,83.04
Luis,Pérez,19,F,8,89.82
Elena,Fernández,21,M,3,41.07
Laura,Ruiz,19,M,5,80.19
José,Pérez,22,F,1,42.01
Laura,Martínez,22,M,7,75.08
Carlos,Fernández,22,F,5,71.67
José,Fernández,18,F,8,88.86
Miguel,Díaz,21,F,8,97.57
Elena,García,22,F,9,96.17
Luis,García,18,F,7,91.26
Carlos,Fernández,21,M,1,38.49
Elena,Díaz,19,M,3,59.13
Miguel,Ruiz,18,F,8,79.08
Elena,Fernández,20,F,3,58.78
Miguel,Gómez,18,M,8,87.09
Miguel,Rodríguez,18,M,1,44.74
Laura,Rodríguez,21,F,5,68.81
Sofía,Pérez,19,M,4,69.89
Carlos,Martínez,20,F,5,57.14
Elena,Rodríguez,22,M,8,80.8
María,Hernández,22,F,4,63.68
Carlos,Pérez,18,M,4,54.57
Sofía,Rodríguez,21,F,3,58.37
Carlos,Martínez,21,M,7,81.59
Ana,García,22,M,3,46.77
María,García,20,F,3,46.37
Sofía,Ruiz,19,M,5,49.01
Laura,Fernández,20,F,5,60.23
Elena,Gómez,19,M,6,76.11
Pedro,García,22,F,8,89.25
Sofía,Díaz,19,M,6,77.62
Luis,Rodríguez,21,F,1,39.78
Elena,Díaz,18,M,8,87.85
Sofía,Martínez,18,F,8,91.18
Ana,García,22,M,9,83.86
Pedro,Gómez,21,F,9,94.99
Ana,Martínez,20,F,2,57.25
Pedro,Hernández,21,F,2,48.07
Luis,Hernández,18,M,3,66.5
Elena,Díaz,18,F,1,42.26
Laura,Fernández,21,M,4,57.12
Ana,Pérez,21,F,4,68.45
Ana,Fernández,18,M,9,100.0
Miguel,Ruiz,20,F,9,94.68
Pedro,Fernández,22,M,9,99.08
José,Ruiz,22,M,7,77.93
Elena,Ruiz,21,F,2,42.07
Pedro,Gómez,22,M,5,71.33
Miguel,García,18,M,4,66.6
Carlos,Gómez,18,F,8,85.14
Pedro,Ruiz,21,M,2,57.05
Laura,Martínez,21,M,6,70.77
Elena,Hernández,21,M,5,62.78
Miguel,Ruiz,20,F,2,60.49
Carlos,Gómez,22,M,1,54.52
María,Martínez,21,F,8,82.93
